year_month,dti_asian,dti_black,dti_hisp_white,dti_nonhisp_white
2018m1,37.9582777196096,38.51974591354729,39.58689393908514,35.86213136153386
2018m2,38.44856789836612,38.65381879333329,39.47816948559674,35.97006421097871
2018m3,38.75835699477829,38.66296923322155,39.73350379145607,36.03553999438314
2018m4,38.58612396667655,38.44283255576801,39.70833347981608,35.99065194874024
2018m5,38.60662998085637,38.57347596621626,39.41124291691921,35.88957669458693
2018m6,38.58160625040443,38.44925870654212,39.52070650365524,35.87843885364759
2018m7,38.50971776206169,38.57286173945866,39.59829759653142,35.88104421102148
2018m8,38.57221001217233,38.54120723593283,39.64142686499489,36.07066720816918
2018m9,38.49642111051671,38.87246238709685,39.71208970732543,36.1529089000799
2018m10,38.97185599315774,38.851024599915,39.81308039103479,36.3417529577318
2018m11,39.16949608250948,38.78911193896133,39.93826957818737,36.47694584969028
2018m12,39.18722351322239,39.01973800578021,39.89866094634952,36.56545748389866
2019m1,38.6858048895898,38.52542101238012,39.46843077911442,36.34302190241484
2019m2,38.29824724081522,38.57070231430197,39.24045651372006,36.01360973153305
2019m3,37.90488802511667,38.37196642615898,39.25466701970876,35.81544255038472
2019m4,37.77974762443644,38.29314262477407,39.01473023459774,35.57489580620096
2019m5,37.8254266497821,38.13547425702339,39.08766674883596,35.40641196967751
2019m6,37.41516832205908,37.89364540373413,38.66190284925234,35.19201645857719
2019m7,37.30127526146412,37.90771427628692,38.72089430936366,35.08038954829011
2019m8,37.35932665607628,37.88561309881968,38.71808922494125,35.10969300034686
2019m9,37.06124862197392,37.58236357460152,38.60000411836484,35.02430908514403
2019m10,37.2339483298059,37.70887881016899,38.51108789121799,35.11683182357426
2019m11,37.33080622381193,37.77210372754498,38.57034281840455,35.16300064299712
2019m12,37.40581177210309,37.84095499306526,38.64755226636085,35.19133047147692
2020m1,37.34447275028477,37.82749226376851,38.71534071645671,35.27892316238287
2020m2,37.02969748031504,37.59373661593551,38.2066790868106,35.02418933592602
2020m3,36.77453770114953,37.30013857417547,38.10375931931927,34.66050113296232
2020m4,36.34449938170782,37.21492326499617,38.09947533752545,34.62009823360759
2020m5,36.32442959235023,37.12412108016386,37.97882416993598,34.60318640016305
2020m6,36.03414392327967,37.18273927576593,37.83870762765289,34.46866488443855
2020m7,35.75342509256635,37.07174102688535,37.8672486578382,34.40741461811032
2020m8,35.81408771453767,37.01561639607138,37.6702572005878,34.405400519537
2020m9,35.90586716783898,36.9163503131719,37.73317013957833,34.40293404061075
2020m10,35.98907137772978,37.14096368639492,37.86770861560721,34.43391411772093
2020m11,35.89500208125546,37.17380836250864,37.93623384393577,34.42015305216705
2020m12,36.00050897538211,37.11079898098997,37.90246677676098,34.40508546782793
2021m1,35.83981496443087,36.91365808995686,37.9655273504949,34.38089555354698
2021m2,35.6905187713313,36.60951758678117,37.76547678860463,34.21989013796735
2021m3,35.82134052421786,36.78626652645998,37.74391661054327,34.2348458521114
2021m4,36.1484009098479,36.94142705779335,37.94970228252004,34.35649339928938
2021m5,35.913257255235,36.84865584798004,37.91414046222656,34.39675469738314
2021m6,35.96132912920123,37.15794844247637,37.90706188666059,34.33266507585418
2021m7,36.14284051869672,37.2112541456784,38.24339522436576,34.62276965357967
2021m8,36.16907364163001,37.34184363154186,38.26044713603859,34.68598986523697
2021m9,36.45960335927221,37.53527776591375,38.31723981809263,34.82900588513279
2021m10,36.57079882043777,37.54567836924174,38.53257403917535,34.95375847880922
2021m11,36.79568478313865,37.72532374741367,38.5822816742218,35.16139641909374
2021m12,36.73491165301783,37.97260787599855,38.701777612547,35.1912925574942
2022m1,36.82599633694856,37.98343623217819,38.82414842371789,35.27527277459339
2022m2,37.10746785283079,38.01723999487552,38.8894834296953,35.32590287532427
2022m3,37.3044007760717,38.1118429207825,39.04650103221485,35.44394341288236
2022m4,37.85084427226263,38.33053682816585,39.37268626829079,35.71606671207656
2022m5,38.24379484693429,38.8825460922184,39.80511852605046,36.13970701214153
2022m6,38.15045383993768,39.08278092626193,39.86982935809076,36.28465099451127
2022m7,38.81749982877549,39.3523119154304,40.12180671074847,36.65681850390013
2022m8,38.4401074249005,39.36811497934249,39.97826888044037,36.53541441442984
2022m9,38.68676144309718,39.27898946441906,40.12525037527028,36.70862865962176
2022m10,39.33096074443249,39.76085899705021,40.54242962385033,37.17940151680346
2022m11,39.3988438213347,40.13402643165474,40.69794818349856,37.46402778486608
2022m12,39.14238178764136,40.09417700665504,40.53017355751458,37.31392644841898
