year_month,monthly_payment,mean_rate
2018m1,1233.4121,4.079906701410534
2018m2,1270.2855,4.459899693553727
2018m3,1308.1172,4.461937296961243
2018m4,1353.5533,4.556663163235741
2018m5,1333.1521,4.612997030187954
2018m6,1350.4078,4.702630211259639
2018m7,1341.3318,4.70856567209162
2018m8,1334.0942,4.691617941968095
2018m9,1316.8085,4.700199372056567
2018m10,1330.35,4.795218142630342
2018m11,1361.1221,4.944293347965639
2018m12,1367.4019,4.961032184015826
2019m1,1354.9641,4.770684444177834
2019m2,1355.7579,4.844410450143699
2019m3,1363.9141,4.698063665855715
2019m4,1341.1526,4.361663847632442
2019m5,1340.9984,4.292848824415124
2019m6,1359.9386,4.183549334411472
2019m7,1508.7538,4.912183140598274
2019m8,1286.5284,3.898536429484682
2019m9,1261.1819,3.771057449279459
2019m10,1274.6013,3.777384272748708
2019m11,1287.396,3.819528989423413
2019m12,1302.5806,3.835618651961801
2020m1,1414.1851,3.825617853610328
2020m2,1307.1021,3.720144605579184
2020m3,1292.1384,3.522858922759248
2020m4,1276.0671,3.413309269737595
2020m5,1259.0327,3.337678887383444
2020m6,1274.3242,3.239054694083924
2020m7,1278.5747,3.12821889938609
2020m8,1272.8995,2.986885053199112
2020m9,1265.6687,2.891730741936355
2020m10,1265.9452,2.882478357677356
2020m11,1266.548,2.840933386879557
2020m12,1251.4878,2.789846296749039
2021m1,1265.3558,2.746313332870653
2021m2,1293.6628,2.767575276000311
2021m3,1340.8781,2.875738762198655
2021m4,1390.9563,3.117638464152352
2021m5,1391.3975,3.105433774913066
2021m6,1392.3124,3.051770835414755
2021m7,1389.5398,3.048072373045292
2021m8,1380.8386,2.981981852500605
2021m9,1374.4363,2.974472255774586
2021m10,1383.5203,3.024670608778647
2021m11,1402.7523,3.137756852293588
2021m12,1399.9005,3.182214105577038
2022m1,1485.757,3.245812596006246
2022m2,1574.9315,3.54514318091461
2022m3,1664.7531,3.871260215689348
2022m4,1752.4371,4.29729371806441
2022m5,1862.8007,4.881614069578577
2022m6,1904.6791,5.169389728601281
2022m7,1917.5449,5.445343319148942
2022m8,1906.5137,5.388267960724543
2022m9,1907.802,5.40174425370966
2022m10,1985.2345,5.960948535774624
2022m11,2062.7231,6.485585113339332
2022m12,2045.2235,6.387645543590213
